"ASSESSID","COMMON","Scientific_name","MGMT","AREA","LME_NAME","LME_NUMBER","NUM_LMEs","BRP_BMSY","BRP_SSBMSY","metric_TOTAL","metric_SSB","firstYR_TOTAL","firstYR_SSB","mean_ut","median_ut","q90_ut","mean_umsy","median_umsy","q90umsy"
"NZMFishLOBSTERWG-RROCKLOBSTERCRA4-1945-2005-JENSEN","Red rock lobster","Jasus edwardsii","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1945,NA,0.520182553286104,0.33955471083356,1.29135668275524,NA,NA,NA
"NZMFishLOBSTERWG-RROCKLOBSTERCRA5-1945-2002-JENSEN","Red rock lobster","Jasus edwardsii","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1945,NA,0.37544348846429,0.199051961751161,0.950494480491071,NA,NA,NA
"NZMFishLOBSTERWG-RROCKLOBSTERCRA7-1976-2005-JENSEN","Red rock lobster","Jasus edwardsii","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1976,NA,0.791467932819516,0.845267672496663,1.05037242109026,NA,NA,NA
"NZMFishLOBSTERWG-RROCKLOBSTERCRA8-1976-2005-JENSEN","Red rock lobster","Jasus edwardsii","MFish",NA,"New Zealand Shelf",46,1,NA,NA,"no value","no value",1976,NA,0.874167209520664,0.947147625093488,1.29018670474554,NA,NA,NA
"NZMFishMIDDEPTHSWG-GEMFISHNZ-1952-2007-JENSEN","common gemfish","Rexea solandri","MFish","New Zealand","New Zealand Shelf",46,1,NA,1803.026167,"MT","MT",1952,1952,0.0473805286983941,0.0280407093530072,0.119907197394841,NA,NA,NA
"NZMFishMIDDEPTHSWG-NZLINGLIN3-4-1972-2007-JENSEN","Ling","Genypterus blacodes","MFish","New Zealand Areas LIN 3 and 4","New Zealand Shelf",46,1,NA,30157.781,"MT","MT",1972,1972,0.0369296150603688,0.0331434558290757,0.0616994732861748,NA,NA,NA
"NZMFishMIDDEPTHSWG-NZLINGLIN5-6-1972-2007-JENSEN","Ling","Genypterus blacodes","MFish","New Zealand Areas LIN 5 and 6","New Zealand Shelf",46,1,NA,48407.352,"MT","MT",1972,1972,0.0193842123173242,0.0159752269677158,0.0344302036545294,NA,NA,NA
"NZMFishMIDDEPTHSWG-NZLINGLIN6b-1980-2006-JENSEN","Ling","Genypterus blacodes","MFish","New Zealand Areas LIN 6b","New Zealand Shelf",46,1,NA,3014.0994,"MT","MT",1980,1980,0.0346313217458338,0.0226415094339623,0.0929061779960702,NA,NA,NA
"NZMFishMIDDEPTHSWG-NZLINGLIN72-1972-2007-JENSEN","Ling","Genypterus blacodes","MFish","New Zealand Areas LIN 72","New Zealand Shelf",46,1,NA,1700.080512,"MT","MT",1972,1972,0.0442089504285851,0.0457945606218276,0.0782668715626043,NA,NA,NA
"NZMFishMIDDEPTHSWG-NZLINGLIN7WC-1972-2008-JENSEN","Ling","Genypterus blacodes","MFish","New Zealand Areas LIN 7WC-WCSI","New Zealand Shelf",46,1,NA,28029.9456,"MT","MT",1972,1972,0.0252368825891701,0.0261973104749921,0.0441634512070861,NA,NA,NA
